sampleid	Candida_glabrata	Candida_tropicalis	Debaryomyces_hansenii	Schizophyllum_commune	Saccharomyces_cerevisiae	Fusarium_oxysporum	Pyrenophora_tritici-repentis	Malassezia_globosa	Candida_albicans	Torulaspora_delbrueckii	Stereum_hirsutum	Coniosporium_apollinis	Trichosporon_asahii	Agaricus_bisporus	Candida_orthopsilosis	Malassezia_sympodialis	Cyphellophora_europaea	Wallemia_ichthyophaga	Pseudozyma_hubeiensis	Bipolaris_zeicola	Aureobasidium_namibiae	Aureobasidium_pullulans	Penicillium_expansum	Rhodotorula_graminis	Pneumocystis_jirovecii	Alternaria_alternata	Wickerhamomyces_anomalus	Hyphopichia_burtonii	Cyberlindnera_jadinii	Tilletiopsis_washingtonensis	Malassezia_restricta	Byssochlamys_spectabilis	Sporisorium_graminicola	Ramularia_collo-cygni
13722.58cfa831e4b0c9d6adf6c5cc	0	0	0	0	0	0	0	1795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13722.58cfa831e4b0c9d6adf6c60a	0	0	0	0	0	0	0	23176	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0	6
13722.58cfa831e4b0c9d6adf6c5bf	0	0	0	0	13	0	0	13091	0	0	4	0	133	10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	1	1	408
13722.58cfa831e4b0c9d6adf6c602	0	0	0	0	0	0	0	27186	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	13
13722.58cfa831e4b0c9d6adf6c676	0	0	0	0	2	0	0	3077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
13722.58cfa831e4b0c9d6adf6c667	0	0	0	0	0	0	0	7910	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
13722.58cfa831e4b0c9d6adf6c68c	0	0	0	0	0	0	0	5917	0	0	0	0	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	29
13722.58cfa831e4b0c9d6adf6c673	0	0	0	0	2	0	0	10634	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	1	2
13722.58cfa831e4b0c9d6adf6c69c	0	0	0	0	0	0	0	28735	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	12
13722.58cfa831e4b0c9d6adf6c70c	0	0	0	0	0	0	0	11796	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2
13722.58cfa831e4b0c9d6adf6c6a0	0	0	0	0	0	0	0	23890	0	0	0	0	4	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	10
13722.58cfa831e4b0c9d6adf6c6b8	0	0	0	0	4	0	0	14183	0	0	0	0	19	27	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	0	0	77
13722.58cfa831e4b0c9d6adf6c746	0	0	0	0	0	0	0	5840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13722.58cfa831e4b0c9d6adf6c760	0	0	0	0	2	0	0	2370	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
13722.58cfa831e4b0c9d6adf6c77f	0	0	0	0	0	0	0	3154	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
13722.58cfa831e4b0c9d6adf6c768	0	0	0	0	3	0	0	12509	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	6	0	0	7
13722.58cfa831e4b0c9d6adf6c74d	0	0	0	0	0	0	0	28634	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
13722.58cfa831e4b0c9d6adf6c7d8	0	0	0	0	2	0	0	19314	0	0	2	0	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	677
13722.58cfa831e4b0c9d6adf6c7a3	0	0	0	0	0	1	0	34599	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	14
13722.58cfa831e4b0c9d6adf6c7f3	0	0	0	0	2	0	0	6326	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	2
13722.58cfa831e4b0c9d6adf6c7e7	0	1	0	0	2	1	0	25622	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	12
13722.58cfa831e4b0c9d6adf6c80f	0	0	0	0	2	0	0	16527	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	8
13722.58cfa831e4b0c9d6adf6c858	0	0	0	0	0	0	0	17004	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	3
13722.58cfa831e4b0c9d6adf6c826	0	0	0	0	0	0	0	33976	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	49
13722.58cfa831e4b0c9d6adf6c98e	0	0	0	0	0	0	0	4986	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1
13722.58cfa830e4b0c9d6adf6c246	0	0	0	0	2	0	0	20611	1	0	0	0	1079	7	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	1	2238
13722.58cfa831e4b0c9d6adf6c9d4	0	0	0	0	0	0	0	15937	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
13722.58cfa831e4b0c9d6adf6c9d3	0	1	0	0	0	0	0	21134	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	4
13722.58cfa831e4b0c9d6adf6c744	0	0	0	0	0	0	0	31828	2	0	4	0	72	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	17	1	1	0	165
13722.58cfa831e4b0c9d6adf6c9c7	0	0	0	0	2	0	0	28844	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	12
13722.58cfa831e4b0c9d6adf6ca02	0	0	0	0	1	0	0	32682	0	0	0	0	2086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	5781
13722.58cfa831e4b0c9d6adf6ca9c	0	0	0	0	2	0	0	24590	0	0	0	0	8	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	22
13722.58cfa831e4b0c9d6adf6ca76	0	0	0	0	0	0	0	25074	1	0	1	0	38	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	120
13722.58cfa831e4b0c9d6adf6ca86	0	0	0	0	2	1	0	10984	1	0	0	0	2593	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	2	0	0	9113
13722.58cfa831e4b0c9d6adf6cac2	0	0	0	1	0	0	0	24009	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8
13722.58cfa831e4b0c9d6adf6ca92	0	0	0	0	0	0	0	18558	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	17
13722.58cfa82fe4b0c9d6adf6b7fa	0	2	0	0	21	2	0	5384	1	0	0	0	250	96	0	0	0	0	0	1	1	0	1	1	0	0	0	2	0	1361	20	1	0	908
13722.58cfa830e4b0c9d6adf6c250	0	0	0	0	2	0	0	17291	0	0	6	0	1049	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	2124
13722.58cfa831e4b0c9d6adf6ca8e	0	0	0	0	2	0	0	23255	0	0	0	0	3	9	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	10
13722.58cfa831e4b0c9d6adf6cb72	0	0	0	0	0	0	0	668	0	0	0	0	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	16
13722.58cfa831e4b0c9d6adf6cb3c	0	0	0	0	0	0	0	17200	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
13722.58cfa831e4b0c9d6adf6cb44	0	0	0	0	0	0	0	19781	0	0	0	1	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	1	1	524
13722.58cfa831e4b0c9d6adf6cb54	0	0	0	0	0	0	0	21124	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	478
13722.58cfa831e4b0c9d6adf6cb4a	0	0	0	0	0	0	0	20651	1	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	221
13722.58cfa831e4b0c9d6adf6cbaa	0	0	0	0	0	0	0	4582	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
13722.58cfa831e4b0c9d6adf6cbb8	0	0	0	0	0	0	0	3445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13722.58cfa831e4b0c9d6adf6cb9a	0	0	0	0	0	0	0	20828	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1
13722.58cfa831e4b0c9d6adf6cb8a	0	0	0	0	0	0	0	24861	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4
13722.58cfa831e4b0c9d6adf6cbbd	0	0	0	0	2	0	0	9422	0	0	0	0	8	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	19
13722.58cfa831e4b0c9d6adf6cbca	0	0	0	0	0	0	0	5705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2
13722.58cfa831e4b0c9d6adf6cb92	0	0	0	0	0	0	0	25025	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
13722.58cfa831e4b0c9d6adf6cbcd	0	0	0	0	2	0	0	4522	0	0	0	0	17	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	43
13722.58cfa831e4b0c9d6adf6cbc7	0	0	0	0	0	0	0	21463	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	1
13722.58cfa831e4b0c9d6adf6cbd4	0	0	0	0	2	0	0	9138	0	0	0	0	7	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	12
13722.58cfa831e4b0c9d6adf6cbac	0	0	0	0	2	0	0	31226	0	0	0	0	29	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	95
13722.58cfa831e4b0c9d6adf6cbee	0	0	0	0	0	0	0	3880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13722.58cfa831e4b0c9d6adf6cbdd	0	0	0	0	0	0	0	23784	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
13722.58cfa831e4b0c9d6adf6cc01	0	0	0	0	0	0	0	3611	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
13722.58cfa831e4b0c9d6adf6cc50	0	0	0	0	0	0	0	392	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1
13722.58cfa831e4b0c9d6adf6cc46	0	0	0	0	0	0	0	3234	0	0	0	0	18	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	45
13722.58cfa831e4b0c9d6adf6cb73	0	0	0	0	1	0	0	15276	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	10
13722.58cfa831e4b0c9d6adf6cca3	0	0	0	0	0	0	0	15450	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
13722.58cfa831e4b0c9d6adf6cca6	0	0	0	0	0	0	0	7586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
13722.58cfa831e4b0c9d6adf6cc09	0	0	0	0	2	0	0	25154	0	0	0	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	666
13722.58cfa831e4b0c9d6adf6ccc2	0	0	0	0	8	0	0	4995	0	0	0	0	3	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	8
13722.58cfa831e4b0c9d6adf6cc2d	0	0	0	0	0	0	0	19325	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	11
13722.58cfa831e4b0c9d6adf6cc72	0	0	0	0	0	0	0	18016	1	0	0	0	8	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	31
13722.58cfa831e4b0c9d6adf6cc6a	0	0	0	0	0	0	0	21405	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	5	1	0	28
13722.58cfa831e4b0c9d6adf6cd10	0	0	0	0	10	0	0	4277	0	0	0	0	21	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	47
13722.58cfa831e4b0c9d6adf6cccc	0	0	0	0	0	0	0	16730	4	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3
13722.58cfa831e4b0c9d6adf6cd00	0	0	0	0	0	0	0	981	0	0	0	0	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
13722.58cfa831e4b0c9d6adf6cd60	0	0	0	0	0	0	0	728	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
13722.58cfa831e4b0c9d6adf6cd62	0	0	0	0	0	0	0	5727	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
13722.58cfa831e4b0c9d6adf6cd8a	0	0	0	0	0	0	0	25008	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	72
13722.58cfa832e4b0c9d6adf6ce6a	0	0	0	0	0	0	0	22754	0	0	0	0	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	29
13722.58cfa832e4b0c9d6adf6cea9	0	0	0	0	0	0	0	20119	0	0	0	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55
13722.58cfa832e4b0c9d6adf6cf48	0	0	0	0	0	1	0	22668	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	5
13722.58cfa832e4b0c9d6adf6cefc	0	0	0	0	0	0	0	32042	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
13722.58cfa832e4b0c9d6adf6cf86	0	0	0	0	0	0	0	18629	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
13722.58cfa832e4b0c9d6adf6ce92	0	0	0	0	2	0	0	46271	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2
13722.58cfa832e4b0c9d6adf6ce9d	0	0	0	0	2	3	0	22589	0	0	0	0	5025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	16881
13722.58cfa832e4b0c9d6adf6d078	0	0	0	0	0	0	0	3217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13722.58cfa832e4b0c9d6adf6d0a0	0	0	0	0	0	0	0	13890	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	6
13722.58cfa832e4b0c9d6adf6cff4	0	0	0	0	0	0	0	21506	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	5
13722.58cfa832e4b0c9d6adf6d038	0	0	0	0	0	0	1	26728	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	6
13722.58cfa832e4b0c9d6adf6d0f0	0	0	0	0	0	0	0	21261	0	0	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	18
13722.58cfa832e4b0c9d6adf6d0f2	0	0	0	0	0	0	0	33172	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
13722.58cfa832e4b0c9d6adf6d178	0	0	0	0	0	0	0	2717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
13722.58cfa832e4b0c9d6adf6d174	0	0	0	0	0	0	0	21106	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	5
13722.58cfa832e4b0c9d6adf6d17b	0	0	0	0	4	0	0	20524	0	0	0	0	9	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	17
13722.58cfa832e4b0c9d6adf6d18a	0	0	0	0	0	0	0	2718	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13722.58cfa832e4b0c9d6adf6d1c2	0	0	0	0	0	0	0	31952	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1
13722.58cfa832e4b0c9d6adf6d14a	0	0	0	0	0	0	0	34538	1	0	0	1	67	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	204
13722.58cfa831e4b0c9d6adf6c4ef	11	0	0	0	0	0	0	11669	0	0	0	1	22	0	17	0	15	0	0	0	4	0	0	10	0	0	0	1	0	1	1	0	12	55
13722.58cfa82ee4b0c9d6adf6ae64	0	0	0	0	0	0	0	27201	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	103
13722.58cfa82ee4b0c9d6adf6af9e	0	0	0	0	0	0	0	15229	0	0	0	0	390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	1266
13722.58cfa82ee4b0c9d6adf6afa8	0	0	0	0	4	0	0	8803	0	0	0	0	13169	16	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	1	37224
13722.58cfa82fe4b0c9d6adf6b687	0	0	0	0	0	0	0	19621	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	74
13722.58cfa82fe4b0c9d6adf6b6bb	0	0	0	0	0	0	0	17172	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	4
13722.58cfa82ee4b0c9d6adf6ae54	0	5	0	0	0	0	0	6759	0	0	0	0	8550	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	32794
13722.58cfa82ee4b0c9d6adf6b0a5	0	0	0	0	1	1	0	7089	0	0	0	0	7482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	0	1	27147
13722.58cfa82fe4b0c9d6adf6b7b8	0	0	0	0	0	0	0	15022	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	3	0	1	0	0	0	0
13722.58cfa82fe4b0c9d6adf6b80c	0	0	0	0	26	0	0	39179	0	0	0	0	12978	127	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	9	90	1	1	44589
13722.58cfa82fe4b0c9d6adf6b916	0	0	0	0	4	0	0	13362	0	0	0	0	1593	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	4248
13722.58cfa82fe4b0c9d6adf6b88f	0	0	0	0	12	0	0	13737	0	0	0	0	66056	34	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	3	3	0	0	178696
13722.58cfa82fe4b0c9d6adf6b926	0	0	0	0	0	0	0	13422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0
13722.58cfa82fe4b0c9d6adf6b94e	0	0	0	0	0	0	0	23316	0	0	1	0	445	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1137
13722.58cfa82fe4b0c9d6adf6b950	0	0	0	0	8	0	0	7561	0	0	0	0	10	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	34
13722.58cfa82fe4b0c9d6adf6b9b1	0	0	0	0	0	0	0	11957	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	531
13722.58cfa82fe4b0c9d6adf6b991	0	0	0	0	0	0	0	11182	0	0	0	0	358	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	23	2	0	0	1456
13722.58cfa82fe4b0c9d6adf6b878	0	0	0	0	6	1	0	13647	1	0	0	0	34167	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	102648
13722.58cfa82fe4b0c9d6adf6b9ad	0	0	0	0	6	0	0	14474	0	0	0	0	22492	16	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	9	0	0	65177
13722.58cfa82fe4b0c9d6adf6ba42	0	0	0	0	0	1	0	13580	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	2
13722.58cfa830e4b0c9d6adf6ba54	0	0	0	0	0	0	0	15762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
13722.58cfa830e4b0c9d6adf6bb7e	0	0	0	0	2	0	0	17546	0	0	0	0	34	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	82
13722.58cfa830e4b0c9d6adf6bad4	0	0	0	0	0	2	0	16789	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	1
13722.58cfa830e4b0c9d6adf6bc4e	0	0	0	0	1	0	0	14563	0	0	1	0	6261	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	16	1	1	16573
13722.58cfa830e4b0c9d6adf6bd8f	0	0	0	0	4	0	0	12939	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1
13722.58cfa830e4b0c9d6adf6babc	0	0	0	0	0	1	0	21161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
13722.58cfa830e4b0c9d6adf6bd2e	0	0	0	0	0	1	0	14306	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	1	3
13722.58cfa830e4b0c9d6adf6bd90	0	0	0	0	0	0	0	23190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
13722.58cfa830e4b0c9d6adf6bdab	0	0	0	0	2	0	0	14325	1	0	0	0	90	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	2	0	0	242
13722.58cfa830e4b0c9d6adf6bdc4	0	0	0	0	2	0	0	15754	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41
13722.58cfa830e4b0c9d6adf6bdc8	0	0	0	0	0	0	0	9782	0	0	0	0	15	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	40
13722.58cfa830e4b0c9d6adf6be01	0	0	0	0	1	0	0	16036	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4
13722.58cfa830e4b0c9d6adf6be06	0	0	0	0	2	0	0	25696	0	0	0	0	3	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
13722.58cfa830e4b0c9d6adf6be04	0	0	0	0	2	0	0	34088	0	0	0	0	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	42
13722.58cfa830e4b0c9d6adf6be2e	0	1	0	0	0	0	0	22461	0	0	0	0	5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	17
13722.58cfa830e4b0c9d6adf6be6e	0	0	0	0	2	0	0	28866	0	0	0	0	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1143
13722.58cfa830e4b0c9d6adf6bed9	0	0	0	0	3	0	0	25901	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	49	0	0	38
13722.58cfa830e4b0c9d6adf6bed3	0	0	0	0	2	0	0	12127	0	0	1	0	43	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	151
13722.58cfa830e4b0c9d6adf6bef6	0	0	0	0	0	0	0	22074	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7
13722.58cfa830e4b0c9d6adf6bf2a	0	0	0	0	0	0	0	18947	2	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	219
13722.58cfa830e4b0c9d6adf6bfb2	0	0	0	0	0	0	0	3244	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	6
13722.58cfa830e4b0c9d6adf6bfbc	0	0	0	0	0	0	0	11317	1	0	0	0	5	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	7
13722.58cfa830e4b0c9d6adf6bf61	139	8	0	0	0	0	0	10322	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	32
13722.58cfa830e4b0c9d6adf6bfd3	0	0	0	0	0	0	0	20649	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	206
13722.58cfa830e4b0c9d6adf6c0f8	0	0	0	0	0	0	0	3399	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262
13722.58cfa830e4b0c9d6adf6c16a	0	0	0	0	2	0	0	3719	0	0	0	0	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	620
13722.58cfa830e4b0c9d6adf6c146	0	0	0	0	0	0	0	13385	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	8	0	0	34
13722.58cfa830e4b0c9d6adf6c05c	0	0	0	0	0	0	0	34230	0	0	0	0	6191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	17502
13722.58cfa830e4b0c9d6adf6c160	0	0	0	0	0	0	0	34419	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
13722.58cfa830e4b0c9d6adf6c16c	0	0	0	0	0	0	0	22810	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	6
13722.58cfa830e4b0c9d6adf6bb3e	0	0	0	0	0	0	0	18277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	23	0	1	0
13722.58cfa830e4b0c9d6adf6c17e	0	0	0	0	2	0	0	9228	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	5	0	0	26
13722.58cfa830e4b0c9d6adf6c1ce	0	0	0	0	0	0	0	19046	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	11
